mpg, cylinders, cubicinches, hp, weightlbs, time-to-60, year, brand
14,8,350,165,4209,12,1972, Toyota
31.9,4,89,71,1925,14,1980, Honda
17,8,302,140,3449,11,1971, Toyota
15,8,400,150,3761,10,1971, Toyota
30.5,4,98,63,2051,17,1978, Toyota
23,8,350,125,3900,17,1980, Toyota
13,8,351,158,4363,13,1974, Toyota
14,8,440,215,4312,9,1971, Toyota
25.4,5,183,77,3530,20,1980, Honda
37.7,4,89,62,2050,17,1982, Nissan
34,4,108,70,2245,17,1983, Nissan
34.3,4,97,78,2188,16,1981, Honda
16,8,302,140,4141,14,1975, Toyota
11,8,350,180,3664,11,1974, Toyota
19.1,6,225,90, ,19,1981, Toyota
16.9,8,350,155,4360,15,1980, Toyota
31.8,4,85,65,2020,19,1980, Nissan
16,8,304,150,3433,12,1971, Toyota
24,4,113,95,2278,16,1973, Nissan
24,4,107,90,2430,15,1971, Honda
37.2,4,86,65,2019,16,1981, Nissan
21.5,4,121,110,2600,13,1978, Honda
24,6,200,81,3012,18,1977, Toyota
15.5,8,351,142,4054,14,1980, Toyota
38.1,4,89,60,1968,19,1981, Nissan
33,4,91,53,1795,17,1977, Nissan
31,4,71,65,1773,19,1972, Nissan
14,8,351,148,4657,14,1976, Toyota
18,6,250,78,3574,21,1977, Toyota
29.9,4,98,65,2380,21,1982, Toyota
27,4,97,88,2130,15,1971, Nissan
16,6,250,100,3278,18,1974, Toyota
23,4,120,97,2506,15,1973, Nissan
21,6,199,90, ,15,1971, Toyota
30,4,97,67,1985,16,1978, Nissan
22.4,6,231,110,3415,16,1982, Toyota
26,4,97,46,1835,21,1971, Honda
21.5,3,80,110,2720,14,1978, Nissan
16.5,8,351,138,3955,13,1980, Toyota
20.2,6,232,90,3265,18,1980, Toyota
16,6, ,105,3897,19,1976, Toyota
14,8,302,140,4638,16,1975, Toyota
18.5,6,250,110,3645,16,1977, Toyota
17.5,6,250,110,3520,16,1978, Toyota
14,8,455,225,3086,10,1971, Toyota
31.6,4,120,74,2635,18,1982, Nissan
13,8,318,150,3755,14,1977, Toyota
22,4,122,86,2395,16,1973, Toyota
29,4,97,78,1940,15,1978, Honda
20.2,6,200,88,3060,17,1982, Toyota
13,8,400,150,4464,12,1974, Toyota
27.2,4,141,71,3190,25,1980, Honda
14,8,340,160,3609,8,1971, Toyota
24,4,116,75,2158,16,1974, Honda
16.5,8,350,180,4380,12,1977, Toyota
16,8,400,230,4278,10,1974, Toyota
19,6,156,108,2930,16,1977, Nissan
33.5,4,98,83,2075,16,1978, Toyota
29,4,90,70,1937,14,1977, Honda
13,8,360,175,3821,11,1974, Toyota
18,6,232,100,2945,16,1974, Toyota
22,4,108,94,2379,17,1974, Nissan
32.7,6,168,132,2910,11,1981, Nissan
46.6,4,86,65,2110,18,1981, Nissan
14,8,318,150,4237,15,1974, Toyota
18.5,6,250,98,3525,19,1978, Toyota
26,4,97,46,1950,21,1974, Honda
32,4,91,67,1965,16,1983, Nissan
29.5,4,97,71,1825,12,1977, Honda
17.5,8,305,145,3880,13,1978, Toyota
20,6,198,95,3102,17,1975, Toyota
27,4,112,88,2640,19,1983, Toyota
28,4,97,92,2288,17,1973, Nissan
24,4,119,97,2545,17,1976, Nissan
29,4,98,83,2219,17,1975, Honda
38,6,262,85,3015,17,1983, Toyota
22.5,6,232,90,3085,18,1977, Toyota
21.1,4,134,95,2515,15,1979, Nissan
26,4,98,90,2265,16,1974, Honda
32.4,4,108,75,2350,17,1982, Nissan
15.5,8,400,190,4325,12,1978, Toyota
12,8,429,198,4952,12,1974, Toyota
19.2,8,305,145,3425,13,1979, Toyota
23,4,115,95,2694,15,1976, Honda
25,4,116,81,2220,17,1977, Honda
35,4,72,69,1613,18,1972, Nissan
18,6,199,97,2774,16,1971, Toyota
17.6,6,225,85,3465,17,1982, Toyota
28,4,90,75,2125,15,1975, Toyota
31,4,119,82,2720,19,1983, Toyota
34.1,4,86,65,1975,15,1980, Nissan
27.2,4,119,97,2300,15,1979, Nissan
13,8,350,175,4100,13,1974, Toyota
17,6,250,100,3329,16,1972, Toyota
26,4,98,79,2255,18,1977, Toyota
17,6,231,110,3907,21,1976, Toyota
12,8,350,180,4499,13,1974, Toyota
18,6,250,88,3139,15,1972, Toyota
18.2,8,318,135,3830,15,1980, Toyota
16,6,250,100,3781,17,1975, Toyota
11,8,400,150,4997,14,1974, Toyota
12,8,400,167,4906,13,1974, Toyota
